,S BET(m2/g),Vtotal (cm3/g),Vmicro (cm3/g),T(oC),P(bar),CO2uptake (mmol/g)
615,1163.0,0.13,0.1,50.0,1.0,0.39299999999999996
616,1322.0,0.55,0.23,0.0,1.0,5.184
617,1322.0,0.55,0.23,25.0,1.0,3.4010000000000002
618,1322.0,0.55,0.23,50.0,1.0,2.293
619,1322.0,0.55,0.23,0.0,0.5,3.6
620,1322.0,0.55,0.23,25.0,0.5,2.3
621,1322.0,0.55,0.23,50.0,0.5,1.5
622,2510.0,0.5,0.55,0.0,1.0,5.229
623,2510.0,0.5,0.55,25.0,1.0,3.7119999999999997
624,2510.0,0.5,0.55,50.0,1.0,2.343
625,2510.0,0.5,0.55,50.0,0.5,1.6
626,2510.0,0.5,0.55,25.0,0.5,2.5
627,2510.0,0.5,0.55,0.0,0.5,3.6
628,1720.0,0.41,0.15,0.0,1.0,4.1819999999999995
629,1720.0,0.41,0.15,25.0,1.0,2.805
630,1720.0,0.41,0.15,50.0,1.0,1.976
631,2100.0,0.49,0.29,0.0,1.0,2.818
632,2100.0,0.49,0.29,25.0,1.0,2.1830000000000003
633,2100.0,0.49,0.29,50.0,1.0,1.72
634,2100.0,0.49,0.29,0.0,0.5,2.3
635,2100.0,0.49,0.29,25.0,0.5,1.75
636,2100.0,0.49,0.29,50.0,0.5,1.3
637,2698.0,10.073,0.22699999999999998,25.0,1.0,3.7
638,2698.0,10.073,0.22699999999999998,25.0,0.9,3.4
639,2698.0,10.073,0.22699999999999998,25.0,0.8,3.2
640,2698.0,10.073,0.22699999999999998,25.0,0.7,2.8
641,2698.0,10.073,0.22699999999999998,25.0,0.6,2.5
642,2698.0,10.073,0.22699999999999998,25.0,0.5,2.2
643,2698.0,10.073,0.22699999999999998,25.0,0.4,1.8
644,2698.0,10.073,0.22699999999999998,25.0,0.3,1.45
645,2698.0,10.073,0.22699999999999998,25.0,0.2,1.0
646,2698.0,10.073,0.22699999999999998,25.0,0.1,0.55
647,2698.0,10.073,0.22699999999999998,25.0,1.0,3.7
648,2698.0,10.073,0.22699999999999998,25.0,0.9,3.4
649,2698.0,10.073,0.22699999999999998,25.0,0.8,3.2
650,2698.0,10.073,0.22699999999999998,25.0,0.7,2.8
651,2698.0,10.073,0.22699999999999998,25.0,0.6,2.5
652,2698.0,10.073,0.22699999999999998,25.0,0.5,2.2
653,2698.0,10.073,0.22699999999999998,25.0,0.4,1.8
654,2698.0,10.073,0.22699999999999998,25.0,0.3,1.45
655,2698.0,10.073,0.22699999999999998,25.0,0.2,1.0
656,2698.0,10.073,0.22699999999999998,25.0,0.1,0.55
657,2772.0,9.88,0.12,25.0,1.0,1.9
658,2772.0,9.88,0.12,25.0,0.9,1.75
659,2772.0,9.88,0.12,25.0,0.8,1.6
660,2772.0,9.88,0.12,25.0,0.7,1.4
661,2772.0,9.88,0.12,25.0,0.6,1.2
662,2772.0,9.88,0.12,25.0,0.5,1.1
663,2772.0,9.88,0.12,25.0,0.4,0.85
664,2772.0,9.88,0.12,25.0,0.3,0.65
665,2772.0,9.88,0.12,25.0,0.2,0.45
666,2772.0,9.88,0.12,25.0,0.1,0.25
667,2560.0,4.059,0.251,25.0,1.0,2.5
668,2560.0,4.059,0.251,25.0,0.9,2.25
669,2560.0,4.059,0.251,25.0,0.8,2.1
670,2560.0,4.059,0.251,25.0,0.7,1.8
671,2560.0,4.059,0.251,25.0,0.6,1.6
672,2560.0,4.059,0.251,25.0,0.5,1.4
673,2560.0,4.059,0.251,25.0,0.4,1.15
674,2560.0,4.059,0.251,25.0,0.3,0.9
675,2560.0,4.059,0.251,25.0,0.2,0.6
676,2560.0,4.059,0.251,25.0,0.1,0.35
677,1948.0,0.9309999999999999,0.209,25.0,1.0,2.6
678,1948.0,0.9309999999999999,0.209,25.0,0.9,2.45
679,1948.0,0.9309999999999999,0.209,25.0,0.8,2.2
680,1948.0,0.9309999999999999,0.209,25.0,0.7,2.0
681,1948.0,0.9309999999999999,0.209,25.0,0.6,1.75
682,1948.0,0.9309999999999999,0.209,25.0,0.5,1.6
683,1948.0,0.9309999999999999,0.209,25.0,0.4,1.3
684,1948.0,0.9309999999999999,0.209,25.0,0.3,1.1
685,1948.0,0.9309999999999999,0.209,25.0,0.2,0.75
686,1948.0,0.9309999999999999,0.209,25.0,0.1,0.5
687,1477.0,4.736000000000001,0.013999999999999999,25.0,1.0,1.6
688,1477.0,4.736000000000001,0.013999999999999999,25.0,0.9,1.4
689,1477.0,4.736000000000001,0.013999999999999999,25.0,0.8,1.3
690,1477.0,4.736000000000001,0.013999999999999999,25.0,0.7,1.15
691,1477.0,4.736000000000001,0.013999999999999999,25.0,0.6,0.95
